"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,-1.06173,-5.83142,-0.71884,-6.22887,-1.86962,4.57513,1.58848,-3.85965,2.32534
"2",0,0.29576,0.54242,4.68748,5.14126,2.14164,4.10505,7.46699,2.15313,6.91196
"3",0,-6.07856,-4.27785,-3.57929,-7.23324,-0.38003,-1.35693,-1.24052,-9.56176,-2.49143
"4",0,-2.4296,3.4491,-1.3572,-0.32115,0.41938,2.74293,-1.08568,3.34293,-1.26714
"5",0,8.50184,3.62801,4.35682,-1.17235,5.19379,-0.78718,8.46398,2.17906,0.28157
"6",0,-1.74591,-9.15667,-8.68872,2.99208,-4.97274,-5.74953,-1.75684,6.14476,1.80563
"7",0,-2.8227,-0.75386,7.83939,5.6996,9.308,6.01121,0.41747,2.40374,-1.78015
"8",0,6.54341,1.46564,4.38818,4.68666,7.05385,4.66664,6.07588,7.07338,2.49823
"9",0,-3.60161,-7.67055,-4.01645,-2.31838,-0.6595,-4.75457,-3.8105,-3.51243,-5.38251
"10",0,5.49889,3.84805,3.77849,-0.47452,4.62875,-0.48291,-0.78915,3.08831,3.87773
"11",0,-2.38287,-1.22385,3.56533,-0.27168,-0.82356,0.138,-2.67885,3.84062,4.21108
"12",0,1.51507,4.14507,0.565939999999999,5.76627,5.81944,3.4507,8.32854,5.24863,3.38361
"13",0,-0.05871,6.39247,6.36716,7.14349,7.44209,-3.76662,6.73711,3.46173,4.76884
"14",0,0.28963,0.47393,-0.82456,2.71471,-5.8901,2.14396,4.28306,3.71531,-0.56812
"15",0,4.75823,-0.39236,7.78366,0.97919,-7.64191,11.67511,5.77065,2.84435,-0.41738
"16",0,-0.86702,0.61918,1.27155,-7.59365,-0.0868800000000001,-0.0775600000000001,-0.62161,-2.15249,3.15709
"17",0,-1.50185,-4.50699,1.46785,-2.96161,-0.54613,6.25472,0.98593,-0.23508,1.60668
"18",0,-1.56013,-3.56297,-6.28134,-1.37455,-2.11963,-4.15722,-3.7805,-3.13645,-3.96299
"19",0,-6.37765,-8.02943,-7.18897,-8.02247,-10.05788,-6.61456,-7.08373,-5.89017,-7.42225
"20",0,-6.38262,-12.80563,-4.33312,-4.36352,-7.76883,-6.33223,-9.06329,-3.57963,-5.02027
"21",0,3.99556,0.69888,-7.19784,-1.20729,-6.22705,-2.3665,-0.32018,-2.57932,0.83536
"22",0,-3.26358,-3.90497,-6.265,-12.76879,-1.92812,-2.87599,-1.57352,-5.96977,-2.49392
"23",0,0.57963,0.16678,-2.63016,-1.79127,-4.8012,0.87208,2.65149,-1.89401,-2.18892
"24",0,-0.93821,-0.80081,-0.05823,4.04462,1.09565,4.10353,1.93234,5.31861,-0.48705
"25",0,-2.47204,0.11895,1.70672,-2.23775,-4.95723,3.75541,1.56904,-3.1505,0.58553
"26",0,1.76254,1.16757,3.12816,-1.24136,2.16413,4.10439,3.81694,3.42415,4.80755
"27",0,7.38005,9.0293,4.34157,-0.57004,4.36958,2.44791,1.83855,4.91724,7.82285
"28",0,-0.15531,10.58129,-2.22225,0.40573,3.99004,5.74248,-0.0262700000000002,2.10598,6.3889
"29",0,-2.68561,1.12037,-3.23886,-0.8742,0.39676,-1.31673,-2.45846,-3.30996,-2.58631
"30",0,1.82602,0.70013,-2.93775,3.2994,-0.66359,0.11548,-6.16103,6.77151,3.39706
"31",0,-1.61279,-5.05913,-1.58091,4.13985,-4.25973,-4.60069,-0.98162,0.0462400000000001,-1.69468
"32",0,2.58103,3.45721,-1.95758,2.85794,3.31346,6.9028,-0.0947800000000001,7.33049,0.8412
"33",0,-6.49607,-0.83715,-4.15281,-2.53675,-0.26585,3.90631,-1.90087,-5.79071,-0.99794
"34",0,8.69558,1.50527,3.64867,4.35236,2.40527,10.86756,3.07463,0.61052,1.42211
"35",0,-3.48687,-4.60904,4.66024,-2.4149,-2.33188,1.41124,-1.3361,0.29229,0.57456
"36",0,4.94317,7.82874,7.37112,8.27261,12.31776,5.10945,12.4739,13.10568,10.98205
"37",0,9.25321,7.87756,-3.00987,-0.05988,-3.63041,1.14896,-0.04353,-2.32835,-4.06987
"38",0,0.70318,1.87365,5.78156,0.92902,7.26365,3.99321,9.26997,5.30128,2.89741
"39",0,2.55577,3.08323,5.03187,3.90269,-1.5752,-0.01736,2.06121,0.79963,0.54547
"40",0,0.44748,-0.4281,-1.49817,-1.82385,0.76454,1.56235,-0.62437,-0.20112,-0.27608
"41",0,-3.15933,-2.67579,-1.74438,-1.45022,-8.24904,-2.61036,-4.78245,2.62823,-3.05264
"42",0,3.94339,3.64552,2.31564,0.05216,6.64954,-3.49835,4.3392,5.55363,-5.7348
"43",0,1.39012,0.61197,2.11782,3.85585,-2.03936,5.05935,1.02672,-3.76831,-1.19962
"44",0,-1.99065,-7.86059,-5.42745,-5.19131,-3.1775,-4.581,-2.48203,-3.48462,-4.80087
"45",0,0.0818599999999998,1.91731,-0.0359000000000003,1.2268,4.26464,-0.12073,0.12667,3.4939,-0.0362300000000002
"46",0,-2.08177,-5.2996,-6.69376,-13.13125,-4.28483,-6.51083,-3.91917,-1.95335,-4.39796
"47",0,0.91198,-2.26329,-2.36012,-1.58244,2.35119,-3.42637,1.59715,-6.17281,-2.45525
"48",0,5.43654,-4.31464,2.08604,4.41556,-7.16881,-3.02016,-0.96462,-4.12166,-2.51052
"49",0,6.1823,7.33936,5.07435,4.53773,6.75037,3.67862,-0.645579999999999,3.62727,1.36206
"50",0,-8.1846,-5.25585,-4.34951,-3.74842,0.47,4.32085,-2.86634,-0.45576,3.27811
"51",0,-4.03562,-4.24977,-2.51209,0.38249,-5.39147,-3.1872,-6.8071,-1.86592,-8.42522
"52",0,4.75455,2.86269,0.2411,3.49778,0.3072,-0.40248,3.68706,2.35745,-1.70468
"53",0,-2.76696,-5.07366,-2.88152,-6.41666,-2.4228,-8.15112,1.52563,-6.64264,-8.92179
"54",0,-9.16754,-4.38684,-7.06628,-3.50032,-10.67665,-5.6723,-2.44442,-5.8235,-11.13972
"55",0,6.71509,9.62649,4.86524,9.3064,3.18726,1.89645,9.11453,6.53049,9.33641
"56",0,4.04513,-1.56708,1.6193,-0.41879,1.74118,2.87348,3.74191,6.9486,-1.02061
"57",0,-0.71671,-0.74343,1.71819,-0.27134,1.97185,3.04156,-0.97569,0.52968,0.94624
"58",0,-0.19993,-7.40888,-1.85039,0.7848,-1.5612,7.00000000000145e-05,-2.74113,-1.89641,-1.78559
"59",0,-4.25136,-9.63546,-4.95625,-5.93419,-7.68188,-5.90201,-4.50827,-7.77294,-8.06849
"60",0,-3.81686,-3.81951,-4.69434,-5.72937,-7.21818,1.55797,-0.36362,-6.69969,-1.85507
