"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.11362,5.98344,3.48436,1.2953,3.04832,3.10823,6.7592,9.80182,2.03209
"2",0,-3.75234,2.43893,-3.10429,0.99494,4.46049,3.0074,-1.40897,0.59811,2.87478
"3",0,1.89713,0.13015,5.26783,4.22558,3.59114,-0.28896,2.77751,4.4408,3.3599
"4",0,7.5803,8.34942,1.4988,4.22494,6.31881,1.75643,0.66201,3.92367,9.87827
"5",0,1.04245,-0.64743,-1.16628,3.4951,1.27542,-2.94701,1.21739,-3.03303,1.63161
"6",0,-2.2442,-0.0803799999999999,-4.78647,1.18885,-0.0620799999999999,-3.80279,-2.80684,-0.19606,0.16843
"7",0,-2.10378,-1.66158,-5.82886,-2.33192,-8.80499,-3.17052,-0.246119999999999,-5.11797,-3.95596
"8",0,-0.39924,-1.73484,-2.15403,-4.42017,-9.71862,-11.96131,-5.13493,-1.23493,-6.04234
"9",0,3.28989,-2.0185,1.93534,-5.0402,-6.62292,-0.78591,-1.27433,-2.46572,1.9719
"10",0,0.38229,-3.80499,-0.1971,-4.43148,-0.35524,0.026,-3.70628,5.9161,-0.03179
"11",0,1.17153,1.82222,2.00079,0.5425,-0.93263,1.68461,3.68335,3.52724,0.02867
"12",0,-1.55139,-1.39693,-3.87969,0.48867,5.37937,-2.60137,0.89477,4.14911,5.1144
"13",0,-6.89915,6.10567,0.51399,-3.39874,5.53886,4.56113,4.21166,-1.76223,0.5401
"14",0,-1.19234,-1.40603,-0.27952,-0.3685,-2.82995,-0.04496,-7.51657,-4.51655,-3.36358
"15",0,4.08471,0.85586,-6.59953,-7.01167,1.7535,1.04825,-3.81548,0.4944,-4.79055
"16",0,3.92718,1.80203,11.38101,8.16387,2.05512,4.21312,-2.24397,4.85483,-0.79739
"17",0,-10.1345,-4.50074,-5.21507,-4.94559,-2.40057,-8.51633,-1.98519,-7.32086,-4.1366
"18",0,0.83173,3.34221,-2.84061,-2.39786,-2.59936,1.57884,0.6249,-0.9633,-0.51829
"19",0,0.81747,0.14512,0.95079,-1.69564,-2.21339,2.03654,-3.69347,1.83488,-1.69401
"20",0,-0.36171,-2.18007,-5.62024,-5.16693,1.03985,0.51961,-3.81883,-1.69625,-6.47281
"21",0,-2.54871,-4.44346,4.83188,2.66674,-1.55527,0.69837,8.97149,0.43109,6.72776
"22",0,0.4961,-2.10412,1.0972,-2.10398,1.00606,-5.05228,1.43892,-4.55827,-4.19052
"23",0,1.62525,-3.06707,-4.51631,-2.3048,-1.41826,-0.0217900000000001,-1.79708,1.90461,-1.33668
"24",0,-4.00442,-0.87076,1.46381,1.50741,2.34644,-1.92589,-0.69065,1.0831,-0.79323
"25",0,-5.05745,-1.23487,-5.38785,-1.83129,2.10077,-5.26518,-8.75731,-6.80884,-4.66423
"26",0,-1.87582,-3.1385,-5.88605,1.00668,-2.3013,-1.99764,-1.65513,-7.79473,5.20357
"27",0,3.19357,-1.24567,-1.76866,-1.69405,3.19939,-2.9252,1.36271,-6.48845,-0.95769
"28",0,1.3906,8.54736,1.83183,1.56468,-2.87362,0.45018,-3.01427,-1.56729,1.28624
"29",0,0.35063,-1.01474,-1.57073,-3.24177,2.40193,4.14845,1.09412,0.37542,-0.53453
"30",0,-6.18001,-3.19959,-6.91148,3.29711,-7.11172,-1.73494,-9.58831,-1.33307,0.46029
"31",0,-0.41222,-3.36082,-7.50083,-6.88485,-7.47324,0.39398,-0.54731,-3.03827,-2.68144
"32",0,-4.63789,3.22102,2.46361,2.51941,-4.88245,-4.01508,-0.67794,-3.01586,-1.10516
"33",0,-0.00799,0.31535,3.03605,-4.1179,0.36613,-0.62753,1.1587,-3.85933,8.00157
"34",0,-3.75382,-0.937040000000001,-9.07807,-8.39696,-8.70778,-12.35688,-8.68382,-1.65464,-7.0707
"35",0,-2.80626,-4.06251,-5.98776,-2.48144,-1.09235,-2.99705,-6.06332,-1.49396,-1.20117
"36",0,-0.47486,1.82837,3.28829,8.99491,-0.40501,-3.21097,0.60149,-1.79004,-1.38865
"37",0,0.9983,7.44885,-0.45652,0.36579,-0.22121,1.12712,1.70215,-1.20729,2.0764
"38",0,0.00722999999999985,3.55376,4.72445,7.24838,13.58214,1.2621,2.94057,1.47661,3.80909
"39",0,-0.63212,-2.97607,-2.00892,0.13261,-1.68184,1.35444,-2.90947,-0.88223,-3.10191
"40",0,6.93385,7.14047,4.50327,5.63504,5.32928,6.96706,6.96868,0.91794,5.53098
"41",0,0.37187,-0.71336,-3.57686,1.7733,-8.49979,-1.34127,3.11807,-5.60291,9.12206
"42",0,-1.39474,-8.64193,-4.86354,-3.11141,-2.69539,-0.48744,-1.36875,-3.87143,-9.44244
"43",0,12.6548,6.97472,12.85392,6.60977,9.75026,7.07517,13.33574,6.9044,13.39319
"44",0,1.68436,0.18598,-5.08087,-2.80866,4.06323,-5.79185,-5.3854,-4.73537,-1.88076
"45",0,4.65183,2.70071,1.2591,1.75722,1.67545,-2.47007,-1.03551,0.89326,1.13493
"46",0,-1.30203,5.98051,6.18438,4.17608,0.82254,5.71683,-0.83082,-1.26461,-0.52485
"47",0,5.57952,7.01232,5.29603,5.71188,0.36884,8.66067,-3.03441,5.91607,5.2572
"48",0,4.37614,3.61198,0.52288,-0.45775,4.55239,-3.13399,3.99676,4.59612,-6.2086
"49",0,-5.86613,-11.4291,-5.08639,-5.05333,-0.890720000000001,-7.22958,-0.111210000000001,-2.58648,-10.12676
"50",0,3.1576,-1.17486,2.15723,-1.15681,1.31333,-1.72423,-3.41308,6.40013,-2.56781
"51",0,3.23246,2.14792,4.9044,1.6563,-1.61911,5.04599,5.89823,9.56978,5.09289
"52",0,4.28514,0.62085,-1.16685,-4.79088,-0.15439,-2.83441,-6.42752,-1.60773,-1.64501
"53",0,1.52843,2.47667,-3.36172,4.93263,-4.92097,1.59456,2.08586,-1.13222,2.02804
"54",0,-2.55703,-0.8478,-2.19478,-6.08326,-2.53033,-2.05027,-3.06034,-6.65648,-7.70218
"55",0,4.60799,4.03893,-2.04338,-1.5381,4.1474,2.53793,-3.91446,1.36196,-4.68
"56",0,4.41827,6.26285,5.58795,0.86259,3.10627,9.33334,9.35467,6.56301,7.70759
"57",0,-5.07881,-8.28167,-6.4352,-13.9102,-5.26909,-7.86963,-9.18716,-6.02579,-6.07408
