"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,3.96326,4.11061,0.48764,-0.59632,5.16761,4.71094,0.56366,-5.23394,2.06392,-1.20931,1.37965,-2.07737,-2.1393,-7.60135
"2",0,0.88189,1.75426,-2.51041,0.50096,0.35814,7.70111,1.71105,-0.84497,1.20566,2.88519,0.37998,10.69592,4.10914,4.47241
"3",0,4.05979,3.26872,2.25567,-1.78429,1.82017,-0.47746,2.01674,3.02389,4.98006,2.23085,2.35161,2.41463,2.6868,0.58822
"4",0,-5.31755,-4.5734,-2.96698,0.5104,-13.27561,-9.00332,-6.35959,-7.18129,-4.34,-0.92408,-0.30446,-7.87488,-5.29693,-11.34479
"5",0,-3.03742,-0.1337,0.71511,-0.68017,3.81034,-1.89712,-0.97987,-0.14424,6.1033,-2.31717,-2.58095,2.44109,-3.55046,-4.84067
"6",0,2.1142,-7.57138,-4.93331,-4.13797,-2.89738,-4.4755,-2.24577,-0.9675,-5.00848,-6.64328,-2.64544,-2.14752,-8.4397,-5.00252
"7",0,0.74646,-2.16366,0.90289,-1.81262,-4.1101,1.39649,-2.37794,-4.90417,-2.81179,-3.5233,0.23031,-3.28576,-1.69099,-2.98425
"8",0,2.92863,-2.55085,-4.16292,-4.61767,0.91064,0.67845,-4.52213,0.94244,2.22249,-3.91857,-4.65156,0.65621,1.06696,0.11776
"9",0,-5.30929,-3.79787,-3.16959,-2.01166,1.32002,-4.83266,-7.16643,1.73433,-0.10108,-4.54015,-9.50085,-3.63384,-6.88867,-4.20227
"10",0,2.40129,1.78429,7.25045,0.52058,0.74299,1.293,2.88367,3.43254,2.29167,6.16343,-1.29774,-0.25183,4.47548,1.06661
"11",0,7.6328,-0.49448,3.17209,5.29719,4.17495,0.37776,3.40057,3.34813,4.62299,4.91793,7.48323,2.22957,8.87763,6.79771
"12",0,-7.03521,4.21082,9.33865,2.26084,-5.26348,-0.71669,3.69999,5.39153,-3.09966,1.23776,6.2128,3.8265,1.24755,1.95973
"13",0,-1.49205,3.39582,5.24358,1.15092,5.6771,2.04808,0.86023,5.98339,7.48341,2.83293,-0.746989999999999,6.4063,-0.21244,4.11199
"14",0,3.41571,-3.82031,0.42911,-1.69046,5.24161,-3.40766,-0.16622,-6.59964,-7.22022,2.04213,-0.47748,-7.32759,-1.85634,-5.89507
"15",0,2.51719,-1.04811,-0.714,-1.40658,2.35661,-2.32127,4.38236,-1.06314,-1.49552,2.04397,4.40416,2.69146,2.56522,3.06068
"16",0,-0.55861,-0.829130000000001,10.17524,5.01448,1.99553,-2.28567,-0.31909,3.08649,7.16959,-2.66451,3.25046,3.37066,-1.61551,9.41038
"17",0,-4.90988,2.24913,0.97493,-8.69274,-1.38031,3.3954,-4.10051,1.22269,-3.96497,2.49965,-3.57836,-2.50662,-1.42633,3.9248
"18",0,3.94285,-4.27122,-0.80935,-4.78814,-0.0322,-0.29354,-0.63705,0.05846,1.71745,2.74348,0.06957,-2.68234,4.11754,4.02128
"19",0,16.86118,6.7903,11.76908,5.81185,-2.90585,5.1659,2.68181,7.24267,2.48445,8.37262,4.04679,4.28588,3.86337,-1.4178
"20",0,-3.13226,-4.54629,-1.46127,-1.0702,-5.75691,-10.85149,-6.31163,-4.36384,-1.64664,-1.878,-6.25377,-0.66773,-4.39494,-9.97553
"21",0,-7.45275,1.83254,-5.83586,0.43979,-1.17645,-4.06251,2.30636,2.57271,-6.49556,-6.23695,-0.82406,-3.46275,0.63133,0.88643
"22",0,1.27436,-0.0635400000000002,4.78373,2.06388,0.81764,7.96967,-0.48683,3.47038,2.25261,-1.00773,7.70388,-1.36124,8.32288,1.09296
"23",0,2.09419,-4.36976,-4.0357,-5.63842,-0.63606,-0.50677,-6.60442,-2.82763,1.56628,-8.93453,-11.32021,-8.36182,-2.32726,-2.56491
"24",0,6.83623,1.11574,4.72225,3.53769,5.11612,6.23578,5.82631,7.275,-3.27257,3.46185,-0.82538,0.50836,9.55445,4.51102
"25",0,-6.32084,-2.99936,-4.29671,-7.80148,-4.27127,-10.93873,-4.09476,-9.98338,-1.65144,-8.64856,-4.36009,-3.18562,-7.95112,-5.76024
"26",0,-4.57426,-11.42705,-9.71184,-4.5463,-6.84836,-8.54466,-3.96533,-6.0698,-3.38725,-4.45308,-1.02232,-10.78273,-3.44586,-4.69162
"27",0,0.52504,5.88134,4.15117,2.86529,-2.4856,4.95969,1.08165,-4.90082,-5.18091,3.53933,0.0915699999999999,-0.86843,-1.18135,4.7445
"28",0,3.35436,0.90778,3.59871,3.5474,3.41224,4.1798,6.63801,4.21724,6.36447,5.96055,0.18143,9.21308,4.84928,2.50139
"29",0,-1.81507,-3.63028,6.65283,3.2878,-0.68503,-2.3088,-1.81358,-5.27547,-2.64236,-3.98543,-5.7274,-0.78373,-1.28551,-2.05061
"30",0,1.98319,-3.88115,-2.13872,-0.89699,-0.30687,-4.05922,-2.03401,1.78517,-0.0920099999999999,5.06191,-2.60414,2.64037,-3.6682,-2.22514
