"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,-0.30216,2.24874,-4.30479,-0.3835,0.63173,-0.45106,0.96399,0.94792,1.46157,0.68271,-3.17377,-2.44318,-0.40828,1.20767
"2",0,2.06146,7.69937,6.52027,3.59621,3.22474,9.50585,6.70836,4.16951,3.05699,1.17634,1.5329,3.55332,-0.52006,-1.37277
"3",0,-4.58364,-8.95865,5.60005,-2.21221,2.70248,0.32074,1.57173,0.64888,1.79631,2.86462,0.22001,1.62911,0.59487,-3.12366
"4",0,8.06209,4.5785,9.09157,10.77209,5.88691,10.81876,2.34342,5.07972,3.28913,14.12564,11.497,4.81213,4.06025,9.15705
"5",0,-1.95409,3.4653,4.97648,-3.21503,5.14047,-2.41321,-0.28992,-0.5755,-0.43255,5.68356,1.47668,1.24598,-0.4538,3.242
"6",0,-3.04328,-2.60724,-4.78899,-1.29421,2.85917,2.11219,-4.146,1.20299,3.96767,5.22272,1.23996,0.93043,-3.28562,0.14519
"7",0,1.47928,-2.4026,-5.90961,1.94992,-1.26286,-4.55739,-1.8051,-0.88858,-0.21527,-5.6381,-4.36497,-0.55243,-2.93345,-0.92028
"8",0,1.18593,-7.46943,-0.17743,-3.72883,-2.48133,-1.51484,-3.40763,-6.49788,-1.64342,-8.34997,-4.36809,-0.69185,-8.76641,-0.44854
"9",0,2.49784,-2.08831,2.13518,-1.0467,0.80062,-4.01593,1.16517,-4.36054,0.57315,2.91343,2.95149,0.56609,0.9755,1.95421
"10",0,1.70948,-3.24346,1.67746,1.05707,-7.93286,-3.32662,0.30327,-1.39316,-0.60101,-0.13182,-1.2279,0.31577,0.82843,-1.37024
"11",0,1.22567,-2.3238,-5.19052,-7.30276,-1.32234,-1.19559,-4.69136,-4.62799,-7.30344,-6.56093,1.69733,-0.27398,-10.11882,-2.91334
"12",0,-0.72413,7.64595,-2.38206,0.6233,2.34342,-2.92082,-0.27171,-4.37731,3.82426,2.76166,2.07731,0.99208,0.86293,0.18513
"13",0,-5.89426,-6.51683,-7.63768,-5.75277,-3.3614,-4.63431,-2.56122,-4.72481,-4.51414,-2.463,-7.43638,-10.34326,-6.22899,-3.70865
"14",0,6.06795,1.60653,4.5732,3.03185,-3.02901,6.89563,-1.45869,4.91215,1.76489,-3.54083,1.14597,-0.4834,1.78035,-0.0808
"15",0,0.2407,-6.13934,-6.24497,-6.44943,-6.90548,-0.75214,-1.40774,-3.6366,-1.34571,-4.33004,-5.18315,-2.53086,-0.99572,3.76365
"16",0,-7.50987,-7.27672,-0.9468,-4.46307,1.6347,-1.31732,-2.35215,-5.70087,-6.34381,-0.40844,-4.56466,-4.29615,0.65266,-1.72888
"17",0,9.38608,1.55921,6.72315,0.78438,7.49929,-0.12375,-3.35989,-0.91318,0.49901,1.91902,1.46193,-1.95624,-1.19399,5.53399
"18",0,4.82328,4.30858,3.8595,3.73769,3.83256,5.88918,-0.62512,6.73998,2.03582,0.72534,0.31875,5.28419,6.44131,7.10702
"19",0,-3.07999,1.06679,-1.20695,-4.27727,-7.23493,-0.0185499999999998,-4.59534,-7.42062,-10.37063,-5.2345,0.49478,-9.16688,-5.9757,-9.11704
"20",0,0.64109,-1.23074,-3.39102,-0.64299,-4.28335,-0.56169,0.76904,-5.56989,-0.24369,0.77264,-3.54441,4.11295,-1.91109,-2.17899
"21",0,-0.77947,-3.45054,3.9955,-0.65797,1.27525,7.97888,2.11821,-7.81589,-5.1617,4.7371,1.39884,-8.64949,2.57799,4.43903
"22",0,-2.61803,2.93902,0.96149,-1.97945,0.46145,1.0925,3.37712,1.27976,-3.48619,-3.09698,2.54368,0.87537,-1.81193,0.93673
"23",0,-2.21642,-1.87511,0.40516,3.60854,-2.31378,6.64193,4.18751,0.59469,3.68924,0.40976,6.51141,4.70191,1.31718,6.03495
"24",0,-2.24265,0.47323,0.10819,1.79783,-1.16975,3.65733,2.06486,2.08262,-1.75895,0.91432,2.81541,8.10882,0.34989,-1.29926
"25",0,0.29517,-3.69535,2.93844,9.44604,3.19943,-2.19336,-2.04781,0.0865400000000001,0.24722,3.24213,0.99171,-1.20707,-0.87748,-2.3253
"26",0,-6.67779,-4.02308,-4.57497,-5.92557,-7.02811,-10.37384,-1.05637,-4.61071,-11.31604,-5.4681,-3.24627,-7.95995,-8.37214,-1.575
"27",0,2.75171,1.18877,-3.02605,1.06344,-2.80625,-4.0642,-4.60226,-3.43328,-1.87338,-4.07417,-0.91511,-1.33491,-4.06259,-7.51367
"28",0,-2.37134,-4.20549,-1.16729,0.28142,3.34712,-2.32366,-1.16412,-1.39973,0.00351000000000001,-1.85878,-4.11652,-4.16125,0.91481,0.64947
"29",0,7.16484,1.5878,3.8823,-0.38794,5.91071,0.81608,2.06476,-1.31247,2.67472,-0.81717,3.06892,-1.74492,2.24686,2.25746
"30",0,-5.7343,-0.32835,-5.03005,2.9626,-0.37963,1.24724,0.73552,-7.0281,2.07886,-2.68733,-1.88828,-1.99268,4.71905,1.75816
