"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,-3.21404,-6.74028,-12.51511,-4.50529,-7.29602,-9.67766,-4.48895,0.13106,-2.63389,-2.50512,-5.44862,-7.74076,-2.95265,-3.71824,-0.40047,-11.88152,-7.04067,-5.82903,-2.96136
"2",0,3.39922,4.72904,8.57446,4.73739,1.60201,3.40091,-3.95915,-3.89129,8.3034,-0.10137,4.55181,1.29195,-1.62793,3.39657,2.22305,-0.28541,-0.83451,1.84339,4.7222
"3",0,11.08989,7.25555,4.76778,7.89517,2.61369,1.52654,0.83621,5.41075,-0.2356,2.42462,-1.14291,9.80294,3.04653,0.772060000000001,5.61034,6.65694,10.63077,2.15566,3.37367
"4",0,1.66765,-1.15632,-4.24671,-9.41724,-0.00167000000000006,1.68229,3.05833,-4.55089,-2.38477,-2.98515,-3.49024,5.19232,-3.49835,-1.28189,0.52377,-2.32515,3.74224,1.60697,3.47272
"5",0,2.4696,1.79107,2.19897,2.58784,-4.21035,0.89304,1.92421,-5.13617,5.11573,-3.52201,-2.80918,-1.84063,-0.86736,-1.45579,3.0782,3.11123,-1.31541,-5.83691,3.76774
"6",0,-1.2299,0.0142600000000001,-1.91093,-3.41247,-3.01083,-0.17643,0.11679,1.03835,-2.86973,0.53778,4.62558,1.65248,3.83286,1.50471,-4.62251,0.29716,-6.23157,4.13011,-0.79568
"7",0,3.66159,1.72545,-0.91482,1.02204,-4.75577,-4.24226,2.76244,5.69802,5.03186,10.12639,3.30051,2.62666,2.67994,1.40416,1.37902,4.26951,-3.2355,2.48634,3.93952
"8",0,-2.37811,-4.57746,-6.24983,-3.79417,-5.6091,-4.27133,-1.56059,-8.14845,-0.48403,-6.45789,-0.62264,-1.99101,-7.85555,-3.40535,-7.0252,-0.47367,-8.29027,-3.09677,0.0117700000000003
"9",0,-2.75861,1.86867,-2.03541,3.27263,2.0534,-2.30163,0.95493,2.65259,-2.58694,-3.26897,5.35567,1.61121,0.58421,0.33804,3.8178,-4.10594,-4.30312,-2.4019,-6.10382
"10",0,1.26153,6.76018,0.48862,-0.60427,0.38923,-0.86457,-1.53602,2.90783,1.0282,-7.00053,2.88012,0.92343,0.49193,3.95239,4.31697,0.9585,-0.85365,-0.82622,2.22769
"11",0,-0.26499,2.07626,0.75571,2.82621,-2.11096,1.32972,3.94827,4.18686,-1.74761,-0.73743,2.22971,-3.56837,-0.23527,1.10948,-2.40588,-4.90024,0.58791,-1.8909,-5.3138
"12",0,-1.29406,-0.78728,-6.72215,-4.30686,-6.61993,-8.29322,-5.12766,-2.83192,-6.63243,-4.34549,-2.37575,-7.28416,-6.94927,-4.75537,-1.44002,-7.82532,-4.75238,0.66384,-5.53329
"13",0,3.98649,6.04734,6.41421,-1.94612,5.1201,5.35734,8.184,-6.32172,5.57625,0.85425,4.30118,7.63012,-1.15179,0.81867,7.16034,6.42302,1.13195,6.46104,1.59245
