"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,9.40558,9.9244,7.65096,5.65492,1.96654,11.327,7.39392,6.23915,5.1301,-0.53897,2.86085,9.80896,10.6698,6.96798,7.29239,5.0953,7.16234,4.33088,12.7069
"2",0,-0.5596,-2.58045,8.24623,2.27434,-2.06307,4.12006,2.09262,4.45848,5.72421,-1.96564,1.22781,-1.46996,3.48264,-4.64004,2.63785,4.89055,-0.44751,6.69752,4.2643
"3",0,4.88018,5.48515,0.37086,0.70562,0.12928,-1.22971,-0.66877,3.01913,7.65149,3.28773,5.08838,0.90346,-1.14593,-0.44498,5.47853,3.71422,4.49249,3.8441,2.61689
"4",0,-5.12287,-0.49955,3.72924,-7.22318,-3.1622,0.55721,2.07135,-2.33192,-1.93598,-5.10803,-2.6297,-4.31038,-6.73288,-3.41563,-8.41935,-3.51181,4.50758,-3.10137,-0.52897
"5",0,-0.97539,-2.06778,3.74921,3.65702,-7.79382,-4.19826,-1.95029,-2.37202,-4.10882,-4.79643,0.2776,-3.8485,-4.0998,-4.70191,-1.67899,-5.13874,-0.64829,1.01863,6.8232
"6",0,2.79274,-1.72186,6.47883,-3.66449,1.99269,0.48341,-0.27011,1.21408,5.72116,3.07797,0.22724,0.11512,1.93246,-5.7937,4.96697,3.9223,0.9181,5.84292,4.90664
"7",0,-2.28804,0.68056,0.70117,4.31603,5.32629,-2.31514,0.66654,-0.64958,0.62866,4.02019,2.23216,2.41178,-1.2934,4.75621,1.1825,-3.5618,-0.79972,3.66683,-2.09623
"8",0,2.61109,8.06682,3.46595,7.4774,2.99385,6.31781,-1.82066,5.97168,4.8092,13.22536,-0.89444,6.87505,-1.0922,8.45065,1.18958,-1.45841,12.31486,3.53929,2.71273
"9",0,1.32818,3.09746,5.58767,0.97031,5.9032,3.07874,9.02567,1.04613,8.59847,3.21161,-5.3808,5.28597,5.57064,4.00225,1.08332,7.0668,2.09785,-0.74145,3.57896
"10",0,-0.42593,-1.41695,-6.17839,-7.73701,-6.71172,-5.91753,-3.14153,-2.77763,-10.1499,-3.47422,-9.80305,-6.66039,-11.15684,-6.12205,-4.27039,-1.918,-2.43174,-5.5584,-2.19013
"11",0,6.80432,4.55729,3.63355,2.19829,4.30513,9.92004,2.51769,3.80253,3.60138,9.09248,9.19552,3.93382,5.86742,3.19444,4.74046,9.4478,1.13058,2.94681,2.24231
"12",0,-7.73625,-3.20749,-5.94702,-8.60454,-6.93592,-6.96869,-10.76854,-4.08721,-10.24231,-10.64404,-7.73094,-7.43586,-5.27359,-7.20075,-7.07297,-5.75197,-10.56511,-6.36807,-6.77612
"13",0,7.94093,8.54494,7.81794,0.82789,-0.16403,5.15559,8.56598,3.78183,3.53762,5.3703,3.00661,3.66374,3.0864,3.73565,6.92924,0.53149,5.8534,9.92714,3.06958
"14",0,-0.06588,0.52547,3.26086,3.25195,-0.10474,-0.04685,1.04839,1.03205,-3.3528,-2.10953,-2.54642,4.81867,1.75277,4.39811,-4.34505,-3.70942,4.02887,0.6258,-3.89476
"15",0,1.07541,-5.16945,-5.39526,-0.82197,2.46626,0.34464,-7.16828,5.84891,-7.71852,-0.35295,-8.07698,-3.05084,-1.0351,-6.05713,-4.26484,-3.85972,-6.26261,-5.90119,4.78677
"16",0,-2.44002,-5.98288,-3.82929,-0.9613,-1.20056,-0.21832,-5.23672,0.39669,0.9214,-2.51849,-5.53308,5.64842,-2.21511,-5.89211,-2.19712,2.43019,-3.00949,-2.81568,6.70552
"17",0,1.24526,-0.41667,-7.5425,-9.13438,-2.48554,-3.92294,-4.87244,-5.17396,-3.35703,-4.81142,-0.98864,1.39885,-3.96931,-0.27826,-2.45406,1.32924,-3.5477,-2.22813,0.16019
"18",0,-2.53821,-0.06986,1.31326,-1.65338,-2.92284,-2.26143,-5.3857,1.76294,-6.43348,2.4878,-7.98664,-1.80365,3.44191,0.45158,-5.10872,-2.83228,-1.07304,-5.6845,1.12907
