"V1","V2","V3","V4","V5"
"1",0,-7.03033,-7.88631,-9.7046,-6.66304
"2",0,2.48795,0.80049,-4.14834,0.97187
"3",0,0.93417,-6.05494,-1.93134,-8.50961
"4",0,-2.45445,2.87598,-2.92696,-2.02192
"5",0,4.56994,3.89788,0.74588,4.71085
"6",0,5.22832,8.50252,4.28003,7.29061
"7",0,6.31368,6.58808,12.87522,-1.51169
"8",0,-4.9346,-4.46983,-3.61042,0.52394
"9",0,-6.49201,-1.22246,-2.65442,-11.33247
"10",0,-8.62738,-5.43806,-5.04857,-2.98983
"11",0,-1.88793,-5.39053,0.50547,1.21524
"12",0,2.20426,-1.97672,-7.39987,3.27525
"13",0,1.91709,0.6782,6.35144,-0.22125
"14",0,0.12895,-9.60431,-3.25035,-2.94149
"15",0,-8.3102,0.44514,-4.88883,-4.15783
"16",0,-5.16987,3.4832,-1.88086,0.89902
"17",0,-4.1077,-5.71472,-1.47008,2.0461
"18",0,0.14097,4.1129,-2.66754,-5.88799
"19",0,6.75653,-0.4263,0.0974599999999999,2.1787
"20",0,9.59714,2.73023,1.10011,-0.70549
"21",0,-7.48003,-4.32419,-3.11414,1.7817
"22",0,0.62627,-1.60039,-3.99267,-0.2222
"23",0,-4.67512,4.83686,-3.67195,2.089
"24",0,1.83543,5.38253,0.92901,0.8916
"25",0,-1.76599,0.52877,-4.18417,-1.32848
"26",0,5.15114,-0.33892,-3.16883,-3.95694
"27",0,-5.04257,-1.14615,-5.73856,-0.72269
"28",0,1.69133,7.89166,5.25601,4.87482
"29",0,8.76564,2.91306,1.67604,5.94563
"30",0,1.69394,5.33692,3.64786,2.03291
"31",0,-2.50442,-4.62603,2.4035,-2.09394
"32",0,-3.8992,5.85634,2.43949,5.77991
"33",0,1.62041,-1.81299,-2.60698,1.05502
"34",0,-9.26283,-5.10977,-4.39358,-3.66053
"35",0,2.10724,-2.53017,7.02033,-3.22074
"36",0,3.08922,-6.00042,-3.5725,-5.89619
"37",0,0.58906,0.27161,1.78917,1.40744
"38",0,-0.82853,-0.36203,-0.0136700000000003,-3.15349
"39",0,3.67394,1.6696,-0.56483,-2.15321
"40",0,-9.93282,-11.5494,-6.98606,-11.84382
"41",0,-3.09934,3.95381,4.18747,3.21479
"42",0,1.90421,1.23147,1.93395,6.23301
"43",0,-1.77476,1.40672,3.69424,2.4513
"44",0,-1.10922,-2.66635,-4.54676,0.00740000000000007
"45",0,-1.48409,-4.5296,-7.02288,-5.08206
"46",0,4.69181,2.96977,2.73967,2.25969
"47",0,-0.0600000000000001,1.66736,0.12807,-1.53281
"48",0,-2.92484,-4.46728,-2.10179,-3.53968
"49",0,0.42376,2.6409,6.57495,-0.1684
"50",0,3.87198,3.89882,9.01253,6.24352
"51",0,-1.18783,-4.86115,-4.96614,-2.68803
"52",0,2.17392,-1.01646,0.97977,-2.5209
"53",0,1.08781,7.54149,0.25054,1.47072
"54",0,1.4646,0.24069,-9.1224,-2.69692
"55",0,-5.98874,-7.9884,-5.573,-4.0197
"56",0,0.86233,1.80097,-0.26556,-4.97171
"57",0,-4.6469,-3.37036,-1.43377,-3.75968
"58",0,0.23536,-2.89839,-0.26611,-4.90774
"59",0,-2.26004,2.78263,-2.08194,-7.87876
"60",0,-5.33817,-2.05316,-0.72746,1.84036
"61",0,-4.0212,3.35677,-5.29567,-8.86974
"62",0,-4.79966,-1.14613,-5.76403,-9.61218
"63",0,4.3112,1.51754,-1.88638,-0.10602
"64",0,-1.83445,2.42202,6.0956,4.5914
"65",0,-3.47466,-0.1217,-5.20377,-4.15763
"66",0,1.38575,-3.13367,-11.08816,1.25209
"67",0,-7.65653,-2.91034,-9.12728,-2.62384
"68",0,-4.02904,-6.49453,-2.05936,-5.43198
"69",0,-3.87139,-2.93508,0.25317,-1.08733
"70",0,2.17238,-1.11578,3.03471,4.1626
"71",0,2.24543,-0.98632,1.44256,3.16278
"72",0,-2.619,1.93759,-4.58075,3.3204
"73",0,-1.73238,-8.70609,-6.45422,-8.27647
"74",0,-8.87564,-8.56021,-7.28076,-8.96445
"75",0,3.26268,-3.63123,7.18886,2.80591
"76",0,-3.87645,-10.36185,-3.50389,-0.70912
"77",0,1.17709,3.19896,8.21171,2.30263
"78",0,-8.75675,-7.25718,-4.51631,-2.75691
"79",0,1.0745,4.31325,-1.5393,-1.04498
"80",0,2.32881,1.87592,3.7899,-1.51797
"81",0,-6.27606,-6.60589,-5.89653,3.19842
"82",0,-1.27985,2.01461,2.32484,-3.02537
"83",0,6.2178,-2.7128,1.38812,1.69059
"84",0,-8.34523,-4.21479,-4.79639,-6.63921
"85",0,2.56967,5.57278,3.78015,1.29126
"86",0,0.48613,-4.73521,4.56976,-0.05836
"87",0,-5.38946,-1.3518,-10.48825,-1.7724
"88",0,4.44818,4.49573,2.67009,4.17951
"89",0,-0.49068,4.44372,-5.6254,2.0943
"90",0,-0.71178,2.03127,-3.43035,-1.08436
