"V1","V2","V3","V4","V5"
"1",0,6.40933,7.26566,8.39385,6.88632
"2",0,-3.10709,-5.72624,-3.25045,0.90337
"3",0,-6.59457,-0.74663,-1.46166,-2.00256
"4",0,-2.40295,-1.34486,0.3839,-1.10874
"5",0,6.6147,7.52648,2.91651,5.75066
"6",0,-8.2373,-1.22621,-2.41668,-4.49112
"7",0,-2.22757,-1.85715,0.43537,4.50101
"8",0,-3.25965,4.93887,-5.04337,-1.03372
"9",0,2.58645,-1.54085,1.29509,-1.03105
"10",0,6.80747,0.47771,2.68586,-5.27215
"11",0,1.60857,4.76972,7.72823,3.23124
"12",0,-0.12921,-0.71542,-2.69225,-0.22888
"13",0,4.05281,-1.27525,3.10683,3.81548
"14",0,13.31509,3.44924,3.83497,7.28627
"15",0,3.59409,-2.8767,-2.41416,3.74501
"16",0,0.0746099999999998,7.25252,3.73202,-6.74909
"17",0,-0.73631,-4.37325,-7.11554,-0.43196
"18",0,2.07238,4.24612,0.83025,1.12246
"19",0,-4.71738,8.90447,6.91098,-1.32071
"20",0,3.17434,1.07651,-0.99137,6.57979
"21",0,0.66267,1.70686,0.1333,6.17021
"22",0,-3.34089,-3.75148,-4.54196,-3.1304
"23",0,0.93446,-6.42253,-4.78433,-2.54252
"24",0,-8.30662,-5.28516,-2.13968,-0.89488
"25",0,1.72968,1.01441,-1.19371,0.72591
"26",0,4.8483,2.65753,1.29987,-0.74559
"27",0,-2.09206,2.33012,0.65287,0.65913
"28",0,-2.62848,1.74467,0.85128,-4.16827
"29",0,3.14393,-3.4184,-2.79491,1.18816
"30",0,5.06724,9.49248,7.99617,0.88827
"31",0,-6.18083,1.88753,0.93319,0.71587
"32",0,7.30905,6.95944,8.72059,3.77025
"33",0,2.88277,2.81019,2.7303,7.38737
"34",0,1.55506,-5.57342,-2.92439,-2.76048
"35",0,2.90388,1.8671,1.7368,-1.29617
"36",0,3.24512,2.84051,4.08529,0.78575
"37",0,8.44629,1.56807,1.40208,5.47209
"38",0,-1.91683,2.70655,3.15216,2.19112
"39",0,-3.88761,-0.81046,2.57265,0.56971
"40",0,-2.66926,5.13075,-4.91478,-0.27311
"41",0,-6.68749,-5.0639,-12.49752,-4.52862
"42",0,1.69782,1.83563,1.22352,-2.66455
"43",0,-2.57801,-0.10633,-2.26737,-5.07236
"44",0,-2.47519,1.1541,0.48205,-4.94287
"45",0,5.27521,6.2152,7.82508,5.20155
"46",0,2.01898,-3.69934,-4.60331,-4.36017
"47",0,1.97828,-5.97047,-0.16645,4.25874
"48",0,3.17043,5.47662,3.24183,6.29735
"49",0,-2.78203,2.08926,-0.05546,4.47844
"50",0,4.10412,2.19007,3.27202,3.19875
"51",0,1.1781,-0.42182,-2.16138,2.36495
"52",0,-4.99308,-3.86286,-6.43666,-2.6604
"53",0,1.34428,4.8178,-1.53383,-6.10432
"54",0,6.14193,2.06518,2.86777,-3.04205
"55",0,-15.32401,-10.61074,-12.98199,-11.6259
"56",0,-4.06855,-1.1768,-1.62709,0.3838
"57",0,1.12455,-4.89763,-4.36009,-1.36671
"58",0,-3.43685,1.9066,-2.08655,-1.26765
"59",0,-0.78935,0.31863,2.73541,5.03088
"60",0,-0.32994,-2.63389,-0.71805,0.37799
"61",0,-2.17653,6.43289,-0.00350000000000006,2.78929
"62",0,-2.72384,-5.68781,-4.44709,-4.55572
"63",0,-3.02951,-7.31966,-2.76018,-4.45932
"64",0,7.95346,9.46502,9.79277,3.3823
"65",0,-5.14261,-7.27214,-7.84121,-3.45862
"66",0,4.88272,-2.99361,0.79801,1.06779
"67",0,1.91449,5.50871,0.79669,2.11761
"68",0,4.60399,4.34843,1.05915,7.6288
"69",0,-0.61081,0.0227200000000001,1.69945,2.83144
"70",0,6.3386,1.07092,-0.38922,2.3165
"71",0,1.84096,1.16199,-0.41435,5.64406
"72",0,0.18739,0.37125,1.82457,-5.08148
"73",0,0.84327,0.16223,-7.81271,-8.34041
"74",0,-3.29957,-5.11822,-3.28314,-1.37054
"75",0,-2.40282,-2.05464,-0.0907,0.53151
"76",0,2.42037,4.90776,3.03281,10.025
"77",0,-0.89364,5.40205,5.97691,8.06076
"78",0,7.05374,0.76357,2.42182,5.57183
"79",0,-1.29635,0.59616,0.91799,2.07346
"80",0,-0.0878399999999999,3.05619,-0.66132,-4.94433
"81",0,0.56707,1.02732,3.09578,-6.52959
"82",0,-0.50817,0.73647,-1.92222,-4.11852
"83",0,4.9764,8.56502,9.90189,9.9056
"84",0,-3.93513,-5.54262,-9.36159,-0.1464
"85",0,2.70169,-4.61288,-2.19777,-2.1621
"86",0,8.96594,-2.47124,3.40999,-4.38991
"87",0,-10.49694,-7.06081,-0.99837,-4.31473
"88",0,3.00352,-9.16776,0.85137,-0.74527
"89",0,-5.41322,3.30972,1.74049,2.67934
"90",0,3.49928,2.85314,1.95174,3.41364
