"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,2.88463,14.43658,8.06705,6.32045,6.90231,1.63239,10.30884,4.43341,8.14507,4.7376,-4.55598,-8.23463,7.49198,-11.86362,1.99341,5.0615,-0.29932,10.63223,-2.25611
"2",0,-2.45386,-5.75909,-24.43907,-2.5328,-13.58276,-9.09275,-8.71449,-22.63476,-16.15676,-2.00032,-28.11152,-10.58875,-6.58269,-2.78278,-15.73623,-5.08012,-5.21279,-8.25891,-5.87395
"3",0,-6.34233,-7.72774,-8.60394,-3.45577,4.21443,2.62429,0.54993,2.71114,-13.19302,-6.27471,-5.24776,-8.63994,10.85939,-9.46235,9.38134,-8.90945,-8.95172,-4.06719,4.60721
"4",0,7.60297,4.20082,8.34897,9.94542,7.39137,14.09417,17.15383,18.10302,22.13611,8.92247,6.86586,4.61809,11.15996,16.90862,8.58198,12.25932,16.86351,2.96042,7.18481
"5",0,15.57278,8.48384,-2.62574,-5.85301,11.35339,7.3929,11.19645,13.74582,7.01684,9.01237,9.38566,8.93171,6.33252,21.1441,13.24051,6.916,9.67611,11.32518,19.63852
"6",0,-5.55734,1.15314,8.32707,7.95477,-8.16509,-12.62984,-1.99265,-4.24667,-2.46605,13.63032,-16.14822,-20.37946,11.47255,-12.07231,-13.69887,-2.95279,-0.10765,-1.94682,-4.14077
"7",0,21.19714,9.69176,17.13149,12.15663,9.20309,23.63738,16.36345,10.9045,12.70421,11.80616,4.23599,16.16158,12.97201,10.37031,17.6267,21.20574,6.18754,0.903229999999999,17.53095
"8",0,8.3156,-6.35661,5.39669,2.98489,11.71105,-4.71194,-6.74999,-4.0657,-8.56461,2.4037,7.5409,5.49375,2.55797,2.7709,6.72355,8.17481,6.20851,3.67201,-2.47028
"9",0,12.1882,6.12899,13.48202,-13.1646,-0.58703,-2.05652,10.20145,-2.3673,10.62831,14.41314,1.4917,8.08953,3.56027,4.83982,12.8748,-6.93764,-4.71764,13.72938,7.47945
"10",0,3.29525,18.4403,12.11685,2.05907,7.88914,16.51901,13.78964,17.28012,0.90095,7.46697,16.96723,7.43762,12.00044,1.77381,8.15645,6.5135,-1.74553,6.81741,12.09044
