"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,-53.79292,20.62946,-36.11713,-10.5978,-9.90328,20.59113,25.29342,11.50091,0.13606,21.45907,-26.93131,2.19584,47.25229,63.35677,3.55531,-13.64418,52.08127,-57.0813,-24.18764
"2",0,-26.49131,-24.1658,-75.7899,-9.58764,-14.41324,-42.12558,-8.7936,5.96913,-34.49185,-26.1862,-47.264,-24.72855,15.48477,-28.97215,2.70923,-5.46652,-10.05336,-14.12557,-24.57251
"3",0,-41.08182,6.25943,9.01086,-31.13243,15.91753,-12.89221,-63.77627,-43.22956,-25.91994,-24.60064,-5.79167,-45.40717,18.90095,-33.4315,-45.93943,-18.33617,-44.98307,9.97643,-11.00128
"4",0,22.80553,9.53073,13.49809,6.30205,10.43892,42.03179,29.26977,4.18693,44.31067,42.26681,32.96199,52.14881,17.26765,37.13179,26.34649,15.48307,-29.72966,9.33082,45.51152
"5",0,-46.22435,-55.8993,-10.8774,-32.3772,-19.9011,11.8874,-32.18245,22.88757,-10.74405,56.07098,8.26927,-57.10697,-11.37603,-15.35441,31.48535,35.37818,0.20485,-5.07725,7.39196
"6",0,-2.63714,70.61369,45.38183,38.4173,42.00364,5.67843000000001,63.83304,58.4574,68.1433,-4.28097,99.37985,-1.27471999999999,82.51638,106.56996,73.62386,70.04032,22.94429,35.31695,19.88107
"7",0,-8.18457,19.06105,-15.03089,-30.45587,-37.07436,-21.10067,17.0861,34.40622,-10.50687,14.96573,20.46148,36.93694,-8.51062,-30.24979,-11.84006,-17.62278,-16.90467,47.0504,-0.45322
"8",0,-4.05652,-19.40349,7.35495,-24.6468,23.30669,-9.72753,28.96646,-11.8945,-5.58596,22.9637,-61.04615,5.68124,-7.55884,1.40942,-21.68157,9.76766,-14.65988,5.35761,28.36308
"9",0,-6.86844,-69.57435,-25.77361,-19.50552,30.15364,-40.06062,7.86105,-2.0551,-25.15553,-42.59701,-82.22775,15.32395,-1.32924,-20.25005,-89.29373,-24.22882,-82.92959,-1.5726,-38.5423
"10",0,26.19125,-40.87754,26.28482,-28.56683,-5.81137,-17.57637,22.58096,-58.2666,7.33095,5.70815,-23.25768,-15.59585,14.76436,10.46384,-7.90003,32.03189,-37.39696,24.09539,48.26672
"11",0,54.51149,31.75623,44.09928,15.65635,2.41692,44.98365,-5.06062,12.36926,23.74269,31.81997,37.82035,39.58701,50.96422,28.32727,13.40506,11.56803,37.07501,9.16471,60.51731
"12",0,-8.09405,-47.78393,8.00039,18.00377,-15.19739,34.10001,-18.44329,16.47109,16.16721,17.16078,0.72627,-4.21215,-2.6133,18.32419,-55.35741,-17.39672,28.64694,-3.7236,-2.0587
"13",0,-76.66283,-17.13796,-4.98959,23.45966,2.00871,-73.03063,-32.55233,-29.8426,0.93131,-62.1906,-14.72058,-58.95089,-47.60972,-25.55764,-45.31794,-18.10283,-1.67606,-36.62051,-36.82791
"14",0,-43.8901,9.65616,-30.5942,-18.51992,-28.09648,-30.30035,16.58239,-39.0148,-11.24585,-37.00941,-49.47397,-3.31458,-34.93882,-10.374,8.25905,-54.69271,-37.09915,-39.62942,7.33346
"15",0,14.10311,47.99667,31.69229,-29.64511,-1.01152,26.22914,45.02394,-22.60519,-8.77503,-29.53684,-4.63595,38.79813,49.12687,2.46978,30.64042,-61.46837,18.63627,-44.87104,47.2433
"16",0,-67.49622,-37.03359,-50.12953,26.89924,-42.1364,39.17142,5.72499,20.27239,-5.72576,-39.64143,36.50248,-23.77263,6.02862,-31.61917,-17.60976,3.70139,-7.77355,-29.86671,58.43765
"17",0,27.18446,-32.42131,-8.95253,35.22493,20.07976,51.77713,11.43973,16.6121,12.5328,-42.52972,-24.04275,-44.18867,20.75633,9.13949,-17.61133,8.51389,36.92031,20.29678,-3.8903
"18",0,100.00103,53.23036,11.85781,55.83379,32.5778,64.35808,46.16239,60.22175,24.49645,-23.48688,87.07177,9.90346,60.17677,7.55712,70.3846,9.46789,64.69897,62.36003,70.65458
"19",0,-82.66329,-69.00625,-37.87427,-8.7666,-45.45454,-5.82445999999999,-40.91821,-49.93628,-22.34803,-70.35681,-70.83555,-69.10548,-83.59898,-72.3992,-56.63065,-22.57487,-72.68378,-66.88963,-35.78027
"20",0,16.65692,21.06647,12.41399,45.52784,36.16047,10.71256,68.42933,64.82401,44.28606,-3.06265,58.64263,27.63249,10.89214,34.90842,44.12989,10.09392,57.16353,3.04681,-31.10321
"21",0,28.95018,22.2294,-4.94769,-11.38216,-56.93425,13.01413,23.02571,-42.87451,-22.96738,-39.02238,13.5409,-20.34507,-41.90457,-14.43941,-27.19881,-7.09907,-39.38643,5.35487,-27.19754
"22",0,-93.63559,-23.0249,-67.46238,-4.3409,-61.0278,19.13413,-44.37871,-25.44146,-36.38298,-28.67641,-53.53814,-51.93386,-26.49281,-8.35759,11.44634,-8.76389,-6.04295,-12.33832,-41.29364
"23",0,44.80279,26.25085,52.50237,61.31682,66.02259,48.45866,30.3402,39.87171,44.11017,24.67922,38.34776,57.87385,26.32912,58.45696,68.93832,11.67544,44.17822,53.87482,39.45971
"24",0,23.24304,-18.3213,-20.44028,23.58349,-30.18131,-41.56414,-35.12117,-6.03576,-61.77231,-23.9403,-26.78869,-12.9511,-73.24383,-42.55909,-24.84468,-34.77286,-51.60118,-23.07975,7.19086
"25",0,-73.07798,-74.70141,-30.6806,-31.29024,-71.88376,-35.52567,-23.66919,-46.8306,-43.32645,-48.55986,-13.85142,-19.41185,-23.3864,-58.10193,-51.05935,-116.24742,-45.38756,-61.91228,-25.89382
"26",0,8.00704,72.05818,39.27654,31.29054,87.15034,69.68844,14.29125,55.021,60.95325,35.05223,47.04637,65.78802,105.36225,65.03093,52.2979,14.81937,65.07749,66.43025,49.38735
"27",0,-53.36822,-12.65995,-43.68206,-72.4235,29.08638,-40.04377,13.00832,-10.91178,3.62636,-11.78438,8.7338,-33.58,-25.58135,-55.49502,-63.25699,25.74106,-50.37822,-7.63737,-32.90414
"28",0,-17.29747,21.48056,13.52704,-7.10177,8.37296,1.81598,-11.5503,24.257,-0.78372,6.16915,25.63469,-4.96441,0.52783,33.24392,21.39979,-0.34917,-7.06864,-21.79073,-44.25152
