"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,1.92764,-0.67152,1.7806,-2.01913,1.22876,1.74549,0.80272,-0.40207,-6.12119
"2",0,2.12944,2.62194,5.50296,-0.88005,2.52947,2.53112,3.56589,7.11848,5.94397
"3",0,-9.03418,-3.70542,-1.2014,-5.33655,-1.75769,0.32117,-2.8317,-4.15204,-12.25996
"4",0,2.06807,-4.11356,-0.7421,-4.97885,-2.47264,-7.28202,-3.78611,-3.69951,-4.06394
"5",0,-3.88378,-0.87695,-3.59873,-4.41903,-3.35273,-4.61973,-3.63064,-2.42678,-2.19298
"6",0,1.65886,1.5597,1.46054,3.95722,4.45681,3.63891,6.38838,3.95748,5.44662
"7",0,6.19028,2.66423,6.38858,6.49126,4.65747,5.57837,-2.13872,6.4368,6.03288
"8",0,-6.01716,-6.49042,-2.57615,-3.12268,-1.3401,-7.57219,-1.64991,-0.74085,-6.45603
"9",0,-3.70927,9.22671,4.82971,2.49476,5.95132,5.00487,0.71546,3.29957,0.214490000000001
"10",0,1.84736,8.3633,4.4646,0.102799999999999,1.86277,4.26775,-2.48491,3.88127,2.3677
"11",0,3.36318,13.11836,-2.44169,8.27716,0.98374,3.16017,0.99005,9.13575,5.3833
"12",0,-2.86933,0.572489999999999,-4.22253,0.96268,-3.95881,-5.7994,-5.79035,0.938619999999999,-6.71419
"13",0,3.46141,5.0609,0.30145,8.21891,-0.4466,2.05713,1.88652,4.44936,1.00565
"14",0,-1.03571,5.26792,7.38045,5.91502,4.16138,5.3532,-1.99213,-0.77556,3.45738
"15",0,-4.53747,-1.54455,-5.96486,-0.28935,2.2813,-2.1572,0.87742,-3.57371,-1.20701
"16",0,-1.12768,1.50311,0.41055,2.41689,0.0780800000000001,4.52407,1.70147,1.1684,5.44382
"17",0,-5.02201,-2.19675,-2.27827,-4.03326,-1.87017,-0.00778999999999996,-3.69609,-4.3973,-2.981
"18",0,4.84301,3.19268,5.67953,2.36897,6.18842,10.46178,-0.13548,0.51866,6.82619
"19",0,3.69455,2.05778,3.63444,3.69635,3.53393,-2.18122,-3.11069,8.74541,-2.1718
"20",0,-7.38253,-0.12697,-5.04262,-6.57495,-4.00967,-0.74128,2.55818,-5.63688,1.18754
"21",0,6.3871,7.38316,-1.68549,4.48951,6.53356,6.09973,3.56116,-0.11043,9.31889
"22",0,-2.37323,3.30538,-0.77551,-8.76003,-0.69859,1.37025,6.99978,5.29612,4.98387
"23",0,-2.22471,-1.45508,-7.1937,0.43839,-9.97316,-3.87765,-6.77747,4.18766,-2.50373
"24",0,-5.99973,-1.36671,1.51051,-3.75295,-3.2641,0.40842,-5.7534,0.13574,-0.16396
"25",0,-2.80071,1.60231,-2.02969,-6.06453,-0.77169,2.52548,-1.32784,-3.81816,-5.49986
"26",0,2.62631,1.62864,7.49209,-2.8271,5.81296,7.16283,2.93907,1.01358,0.30015
"27",0,0.78172,-4.76729,-0.75107,-3.43062,0.85729,-5.39824,-2.25949,2.52957,0.78078
"28",0,-2.5046,6.15562,4.48737,1.78282,-0.25615,3.97422,0.32712,-0.85306,-2.15628
"29",0,0.45245,-1.63066,-4.1581,-3.29213,-3.77733,-5.67294,0.23479,2.54101,-3.9551
"30",0,-0.9462,3.30045,-3.22281,-4.21697,-6.10252,-6.34628,1.18106,-5.83869,-3.93712
"31",0,5.89576,4.97831,0.0983200000000002,4.06239,0.58485,6.34657,4.31119,0.42454,-3.24168
"32",0,-0.96783,-4.01455,-0.55335,-8.62612,0.93855,-4.40477,4.6878,-5.78956,0.50316
"33",0,3.73557,3.33377,0.04611,0.72071,-4.31412,2.23464,-7.04568,-1.20439,-2.06571
"34",0,0.41151,0.55065,3.88034,2.65222,-4.36391,7.56035,0.0251399999999999,-1.86262,5.60443
"35",0,2.09615,2.66065,3.97783,-2.63342,6.97421,2.86492,8.4448,5.18639,6.78853
"36",0,1.19138,1.91948,-2.63706,-1.44168,-3.43616,5.48057,-1.18118,-1.51001,-0.96483
"37",0,2.76519,-1.13629,-1.5175,-1.72684,2.65881,-4.63198,-4.5725,0.62772,2.67413
"38",0,2.12667,4.99824,3.23043,3.27312,7.13977,1.64455,4.38078,-1.61401,5.07468
"39",0,1.48066,1.29495,-2.28253,-2.39092,-5.55617,1.4578,5.51495,-0.50908,6.03251
"40",0,3.01048,8.91596,1.46662,0.12637,1.10912,4.19267,2.00431,2.37725,-1.27835
