"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,0.86647,7.56362,3.81742,7.89109,8.82352,5.64192,4.4582,4.13887,1.73176,-0.26631,3.46497,2.83991,5.32232,8.9386
"2",0,0.0369100000000002,7.55188,3.71478,-0.55832,4.97981,7.11327,9.39651,3.37618,6.9383,6.41622,8.61629,4.40739,8.97447,3.38403
"3",0,5.17459,-1.92748,4.4428,4.02529,5.30132,-0.43063,1.08692,8.9024,3.64758,2.23328,0.73034,5.66022,1.41024,1.61931
"4",0,1.02685,4.35795,10.78989,4.62297,1.06231,11.31376,5.05044,7.89519,13.5835,2.41989,2.00692,11.10258,4.60502,2.74606
"5",0,-11.9935,-4.81798,-4.89185,-8.986,-5.48914,-7.43047,-4.26698,-7.93746,-3.74662,-0.72882,-5.0375,-8.75883,-8.06628,-4.88759
"6",0,0.2155,-0.0520899999999997,-8.48315,1.48506,-0.0259399999999999,-1.80816,-1.91583,-1.96548,-6.06211,-2.06613,-1.64488,0.42649,-8.12027,-2.52939
"7",0,1.38469,2.4198,1.05921,-1.51475,5.31034,-1.94057,1.65305,-0.7122,10.45475,2.46545,2.92956,7.66487,-2.17532,6.25566
"8",0,1.35068,-6.77265,-1.17787,-8.09797,-4.58091,-5.61372,2.17163,-10.01523,-3.8272,-5.93783,-0.2636,-3.35134,-9.48823,-4.83654
"9",0,4.15321,2.50152,0.74203,-1.95693,-1.3108,2.25018,0.80387,-3.77973,2.76096,-2.84309,4.7315,-5.62933,-0.39851,1.22998
"10",0,-4.38686,0.81361,-1.92383,0.75536,-4.27508,-2.53861,-2.74314,-0.38397,0.06299,-5.58252,-6.06638,-0.70762,5.0639,-1.92291
"11",0,-0.0429599999999999,-7.34482,-0.45378,-4.81592,-3.13302,-3.35376,1.23845,-3.52699,1.34221,4.89512,1.8242,-1.00407,0.95622,-2.25078
"12",0,4.00296,0.0894600000000001,0.0171700000000001,1.67189,4.63769,4.59497,3.89068,5.9974,2.56099,-1.08839,1.5801,0.7432,0.61736,0.15516
"13",0,-6.83085,-1.18564,3.13949,-3.41819,-2.86057,-2.09406,-2.89505,0.39584,-1.06216,-6.98041,-3.04037,-3.81157,-2.67825,-3.14206
"14",0,6.55698,2.22104,-3.14509,0.22864,-1.19674,5.69174,1.54144,5.49026,7.65252,0.61199,0.94095,3.5825,7.22854,7.68922
"15",0,-2.47654,2.07413,3.62795,3.61442,0.11705,3.9468,6.33801,-3.84352,-1.83247,2.74299,4.68886,1.48937,-4.35417,3.58905
"16",0,-3.94468,4.01332,-5.67562,-3.05717,0.24079,3.48726,3.54273,3.65801,-0.54891,2.20807,0.8577,-1.12012,0.46135,-1.77623
"17",0,0.62996,3.26088,1.90017,2.6954,6.69817,5.43549,2.25448,3.90152,1.67564,1.76132,1.38434,2.1945,-2.37511,-1.25164
"18",0,1.26793,-6.52929,-3.28452,-3.57133,2.35647,-0.31333,-2.95872,-7.64243,-0.79846,2.20614,1.99071,-3.8926,-4.2458,0.58145
"19",0,-7.21272,-3.57421,-5.51594,-0.18496,0.21125,-3.52424,-4.28095,2.5444,0.0418100000000001,-4.1417,-1.85293,-8.77592,2.21285,-1.79701
"20",0,1.99987,-5.2862,-3.02793,-1.80879,0.15634,-2.21084,-6.53364,-3.87739,-8.52946,0.35048,-4.15168,-4.66559,0.23227,0.23977
"21",0,0.44659,5.31506,0.33553,-1.29633,0.27229,6.17202,1.82151,7.91853,0.56632,0.46337,2.65596,2.76274,8.15605,4.60063
"22",0,11.02722,-0.16807,1.5458,1.5149,-2.17234,-3.23218,3.8865,0.58393,4.2156,1.50956,-1.14225,1.38153,-2.43514,5.60381
"23",0,7.01002,7.59119,6.23339,7.31965,9.89181,-0.87937,3.33592,4.07039,2.55191,0.99247,5.05188,5.05115,0.69103,-1.41117
"24",0,-4.85054,1.39158,-1.38806,-7.6089,1.04412,-4.31564,-3.35976,-2.65217,-2.44443,-1.70513,2.78791,-3.98156,-5.07609,-6.02648
"25",0,6.97986,1.62585,5.25401,-2.28125,5.9333,3.90466,1.94054,2.10376,-0.60128,-2.71106,0.18069,0.24823,1.82393,-0.20469
"26",0,1.51856,-0.052,0.43008,3.82003,2.81317,-1.14709,-0.50131,-1.67021,-0.42508,-0.26153,3.53822,2.49918,0.24722,2.12368
"27",0,-0.96675,0.50125,6.48245,-1.21896,2.46577,-1.60596,-3.90952,-4.48834,1.71591,-1.64129,2.67052,-4.33709,-2.33859,-8.04283
"28",0,3.94392,0.0830199999999999,-4.83109,-1.68996,-5.52943,-2.33952,-1.84646,1.60079,-0.59757,-4.96084,-6.7307,-3.67034,-5.24216,-7.50437
"29",0,0.0470699999999999,2.39944,0.18278,0.0546499999999999,-4.17821,3.09771,5.15514,0.19542,-3.81186,2.91034,-2.69606,-0.69388,-3.94863,-2.61939
"30",0,-2.09293,1.57214,-3.42869,-1.61298,-3.99395,0.19963,-10.40544,-0.79902,5.02617,-1.83385,-4.00534,-3.0353,-3.30486,-2.42524
"31",0,2.4601,0.32135,-2.47658,-0.69437,-2.41384,-0.43467,-1.023,0.01963,-3.90242,-1.5286,2.75297,-6.4332,2.05123,-2.66032
"32",0,-3.58042,6.41668,-0.54515,3.3167,6.44001,3.48671,5.40778,5.90826,0.57278,4.3686,7.11617,-0.36634,-0.25583,6.17241
