"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,-0.21213,-5.0955,-0.94574,-3.4164,-5.00516,-7.44372,1.69692,-10.61874,-3.73012,-2.43584,-2.03172,-5.21817,-2.42535,-5.8963,-1.93433,-6.03862,-5.27093,-6.64848,-0.29661
"2",0,-0.44611,0.65813,3.08771,0.85453,-4.55299,6.22803,2.7741,7.74458,2.41527,2.12213,6.81819,2.43061,-1.92546,8.28578,5.04371,-0.50585,2.55977,1.18372,1.20245
"3",0,-6.12752,-1.89352,-3.75441,-4.39246,-4.13292,-1.70491,-2.08095,-4.86091,-2.18828,-4.77647,0.6973,-4.97731,-1.80125,-0.84746,-4.95518,-1.29141,-2.67556,-6.73101,-7.21482
"4",0,-1.9415,6.10429,1.02236,2.10657,2.81735,0.44998,-4.79231,2.67841,1.39267,-4.28276,0.87149,3.73933,-1.37572,4.85412,1.2708,-1.06472,-0.66502,3.19797,1.30001
"5",0,2.26311,-2.16436,-3.58818,-4.36206,0.69835,-2.33962,-4.16622,-5.02825,-0.21823,-5.12956,-2.63146,-6.18465,-4.15844,-13.2761,-3.4574,-6.21817,-3.52348,-2.0971,-8.83596
"6",0,0.96149,-0.4841,1.0354,0.40703,4.65953,-0.20782,-0.70762,1.62351,6.44877,6.7736,0.24131,3.254,2.27175,0.94084,1.61367,1.83501,-3.37668,0.2675,1.89481
"7",0,-7.90612,-5.19352,-2.02558,-0.35062,-1.77528,-0.98508,-8.38185,-3.32778,-9.24571,-11.09983,-6.94939,-3.42294,-5.05813,-8.63747,-3.88218,-1.13066,1.05965,-1.45256,-4.06348
"8",0,0.0223599999999999,1.02745,2.86476,6.66687,-0.94789,3.68744,-0.6813,6.99428,-0.32047,3.18401,3.54669,2.20862,1.42948,-0.9061,-0.65644,2.20734,2.74443,0.11621,2.13525
"9",0,4.74889,2.52581,1.03637,3.29781,7.76995,-0.0481499999999997,2.2421,2.89693,6.423,4.11353,8.28229,-1.08859,5.04923,3.66956,3.21797,2.77389,7.82962,4.95039,4.66865
"10",0,-1.73537,2.52885,-2.99838,4.0681,-0.91497,3.29441,-4.8563,3.69421,3.58515,-1.61835,4.67226,-0.60832,0.21316,2.64182,0.66148,-1.43604,1.48113,-3.04229,-2.93366
"11",0,-10.02266,-1.69244,-0.85791,0.87524,0.27241,1.67371,0.57147,-0.11976,2.24784,2.46192,5.77823,-3.40936,2.52754,0.71474,0.18474,0.2986,0.34247,-8.09962,-0.70259
"12",0,-3.08803,-3.96882,-7.87028,-7.55338,-2.21483,-4.42215,-0.95194,-5.96914,-9.07067,-9.44473,-2.13648,-4.6928,-1.39477,-5.93444,-2.63733,-4.21928,-3.76543,-1.07909,-8.95746
"13",0,1.71619,6.86782,-1.36872,4.57246,5.76044,-0.154700000000001,7.78896,6.13291,3.57144,5.73208,6.91586,3.69449,-2.37816,0.55796,13.41599,6.78825,6.53704,5.28989,5.72086
"14",0,-3.67658,2.58693,0.4298,-0.82607,-1.38771,-7.19374,-0.02441,-1.1292,1.36545,0.59935,0.26047,-1.92432,-4.91757,2.79498,5.46155,-0.49644,5.24878,0.43293,-1.64758
"15",0,-3.72691,1.05342,-3.91045,3.9135,1.70575,3.98798,-2.34208,3.66459,6.31723,-2.42192,-4.53533,1.43361,-3.99925,-0.74909,5.01756,-2.0106,-1.52086,-3.07899,2.94667
"16",0,1.25466,-4.85537,-1.34078,-8.53481,-10.07724,-0.0444800000000001,-5.11977,3.41271,-0.63167,-3.60359,-2.24984,-6.75012,-2.6043,-2.72176,-0.5011,-8.85654,-1.67035,-7.86098,-2.74056
"17",0,4.18401,3.6089,-5.09202,12.21268,6.99559,3.42421,3.69364,6.59037,2.90292,6.09761,2.08869,4.1135,0.991,4.7332,6.22484,5.32915,7.54957,1.81385,-1.20785
"18",0,-4.299,-2.88362,-1.09482,-6.42377,3.68703,1.17277,-1.68061,2.77518,-4.93644,1.20274,-4.99283,-4.29918,-0.80899,2.02709,-2.54835,-1.67253,-6.49326,-5.1555,-0.9854
"19",0,0.38461,-3.13018,0.0735300000000003,-1.22586,-3.83014,-2.00013,-2.72402,-4.75475,-6.03202,-3.38584,-3.22357,3.035,-3.33125,-5.67173,-3.73834,-0.48639,-4.71052,-6.25795,0.70423
"20",0,-0.97268,-1.30527,2.04332,-1.93384,0.30395,2.2576,5.37651,-2.25901,-0.22221,-3.55775,1.66455,-4.61513,2.15448,-0.25233,3.40927,-2.82206,1.68345,4.08058,0.52985
"21",0,-3.46679,-3.67351,-11.98871,-2.91617,-6.17265,-8.6297,-11.61029,-2.77477,-10.71937,-4.78539,-12.30495,-10.19778,-7.42932,-8.74558,-6.9794,-2.40175,-10.23858,-14.97383,-5.10632
"22",0,-11.81431,-9.1111,-1.69046,-2.39413,-2.95944,-4.65194,-2.79627,-6.64422,-5.94001,1.91066,-2.69507,-6.83533,-4.08425,-4.59232,-3.59529,-6.47887,-0.51349,-3.79029,-7.89046
"23",0,-1.29893,1.44509,1.79334,1.06048,2.33268,-1.13209,0.89564,9.76509,1.19972,8.15408,1.04597,1.66455,-0.13243,-0.78856,0.19014,-1.94377,2.26176,2.14824,-2.06163
"24",0,3.15618,4.39686,3.58162,0.39493,2.5733,-1.0478,5.96173,3.83479,2.8608,-6.13434,9.19176,1.77065,5.74935,-0.14054,-0.79554,3.59187,-0.50658,-4.89968,1.64762
"25",0,-8.16087,-4.56215,-3.59977,-6.36949,-7.06811,-4.84273,-6.655,-5.26397,-6.47988,-8.25622,-2.98006,-1.05593,-2.90363,-3.97146,-9.85216,-6.54263,-3.74053,-6.13961,-13.5247
"26",0,-2.98856,0.06107,-3.11601,-0.62769,4.17649,-6.31305,-3.3026,1.48063,-1.25407,2.48553,2.92203,1.49734,-2.61537,-6.29041,-0.85694,-0.59962,-6.23335,3.32331,-5.71598
"27",0,-1.4171,-2.86788,-0.17771,3.32808,2.92057,-0.51944,1.62582,4.41857,-1.0313,-0.64825,-2.7268,2.14819,-0.767,-0.58834,1.91714,-1.06744,5.45169,0.97733,-0.44486
"28",0,-2.03595,-5.55018,-4.06125,-7.25095,-2.56531,-9.91481,-3.39866,-5.10132,0.96591,-10.04461,-0.92148,-3.99041,-1.17215,-1.75218,-6.19212,-3.74963,-4.76539,-1.38078,-11.45777
"29",0,-1.3851,6.49078,6.9718,1.75878,5.15015,-1.7721,-1.22433,2.99575,-1.907,-1.51822,0.44418,2.61207,0.8094,-3.73977,2.07932,-5.01625,-3.08239,5.57261,3.80936
"30",0,1.51001,-1.41822,0.4246,-2.88286,8.33644,-2.16607,-0.34207,2.30916,3.41047,-2.59401,2.28619,2.37819,4.03396,-3.90766,5.64081,2.64729,2.70871,4.55732,-0.45544
"31",0,5.48706,0.0517099999999999,0.92612,2.7774,2.81728,1.41753,0.86684,4.11293,2.05077,6.22577,1.98928,3.57694,-4.25023,1.11194,-0.08287,2.65286,2.52791,-1.10366,7.84621
"32",0,-1.76337,-1.03044,0.39793,-2.52881,-6.6624,2.47201,-1.42338,5.54504,-4.50941,0.04174,-3.56913,-0.35864,5.10217,-2.34546,-1.36709,-0.09255,5.00396,-2.70899,0.62002
"33",0,-1.20812,-1.50553,8.53929,-1.91848,3.55823,2.30184,7.05515,0.10234,4.71494,0.99923,2.76013,3.71366,9.56486,4.29902,3.23626,4.0883,-0.1248,-0.16294,2.85123
"34",0,5.80554,-0.17169,-2.25765,-5.0363,-6.39628,-1.13965,-2.57366,-6.1916,2.38251,2.34992,-0.15602,-1.06938,0.16209,-3.79303,2.24667,-2.05811,0.44963,-0.25121,-4.88177
"35",0,0.73373,-1.23786,4.3898,-1.24718,3.98096,-0.20867,-1.83023,5.95296,10.70795,0.19177,1.81874,9.15417,3.79338,5.59985,3.11752,3.78734,-2.00409,0.0496799999999999,2.29822
"36",0,-6.01125,-5.74371,-7.43566,-5.25069,-0.43703,-1.22043,-6.64305,-2.88939,0.382,-2.69615,1.51575,0.2444,-4.49976,-3.6834,0.56033,-3.65678,2.66757,-4.81623,-5.03072
"37",0,-11.76588,-14.98127,-9.35107,-8.87725,-12.62777,-16.73093,-15.4067,-8.65432,-11.34976,-8.87685,-4.48759,-9.5745,-8.69157,-11.49906,-6.92138,-3.59176,-13.64161,-11.05167,-16.31902
"38",0,-3.79883,-3.56732,3.49473,-2.47062,-2.02445,-3.86802,-0.90099,1.38251,-3.44531,1.81833,2.76898,0.67909,1.6092,0.79008,6.27636,4.12828,0.28188,-3.51472,4.76538
"39",0,-4.43496,1.57435,-0.85307,5.66165,-0.35568,-0.54003,-2.01367,-3.37292,4.69268,2.51538,5.86893,0.45892,-4.30357,-2.29693,0.0410199999999999,0.04206,-1.44615,4.58697,-4.58955
"40",0,-2.38193,-4.37662,-9.12216,-7.5058,-9.24936,-11.09808,-4.52682,-6.55634,-3.56737,-2.27395,-6.81289,-2.20223,-4.63746,-7.36299,-7.10219,-10.90425,-10.60877,-5.55556,-10.23636
"41",0,-1.5257,0.50231,4.03934,-0.19396,3.17183,-3.43579,2.71357,2.10429,7.59218,-3.79285,-0.51092,-0.22321,4.46703,3.23606,2.05135,-3.08998,1.16727,1.79856,-3.11762
"42",0,1.29052,2.54077,10.23866,0.53804,-0.5607,3.96354,-1.69745,-0.95652,0.24655,-3.76265,0.52014,3.14426,-4.14581,-0.23239,-2.55717,-5.21179,-1.94144,2.50261,8.71932
"43",0,1.26722,1.76469,2.17783,-1.26619,-0.63557,-4.30128,3.35575,-2.39735,-3.31067,-3.20808,-2.55684,0.81728,-3.61373,-4.63637,0.46612,-1.29185,-6.86952,-2.28193,-1.41379
"44",0,-4.23142,-3.73006,-3.12451,1.04973,-6.98297,-2.35292,-1.66241,-3.2029,-3.67129,1.99294,-4.39869,0.69638,-1.55022,-7.39847,-2.69131,-6.32702,-7.07598,0.31476,5.70878
"45",0,10.07871,15.82216,1.55578,3.71038,5.02324,5.46589,6.73539,1.68077,12.14622,7.75953,6.3508,-1.06326,2.32754,2.43912,5.22891,8.98798,3.77098,5.76689,4.60736
"46",0,4.37288,1.83363,4.45051,1.73165,7.58439,2.81056,2.01601,-1.62381,3.66676,1.57717,6.03229,2.21851,2.89929,-0.58656,6.38751,1.63673,3.11583,2.72048,3.13209
"47",0,-2.20158,-8.63448,-10.55519,-3.50845,-1.49457,-1.28273,-4.37362,-1.15012,-3.91262,-1.28633,-4.71021,-4.52341,-5.21063,-10.71609,-0.64523,-2.90616,-3.69296,-8.70013,-2.7657
"48",0,-2.55837,6.51759,0.06434,1.60328,-2.32682,-2.48913,-1.6366,1.14051,-8.12018,-1.51918,-1.3898,-1.24244,-1.83434,0.30823,-0.05698,-4.7009,-2.45527,-8.76815,-5.21192
"49",0,-1.51162,0.93465,-3.71627,6.35186,1.4571,3.01988,2.93743,-4.03228,-3.55222,-0.23502,-4.2267,-5.26594,-0.47954,2.64176,-0.84801,2.77593,2.31374,1.65634,1.09783
"50",0,-7.40184,-6.29474,-4.96213,-2.57867,-7.20538,-4.30473,-4.23329,-6.55292,-4.33027,-8.42172,-1.1091,-3.89968,-8.14443,-8.28734,-8.81047,-5.28607,-3.57803,-4.93679,-3.34942
"51",0,-0.34888,1.62449,-3.54227,3.76481,-2.56579,-1.72205,-2.20112,-3.94852,-2.02883,-2.93424,0.24609,-0.95896,-2.26932,-1.60272,-1.3095,0.50269,-3.38932,2.26975,-3.07431
"52",0,-3.99194,0.4108,0.66479,1.83812,-0.32873,3.75526,-1.97456,1.04393,-2.79936,3.31895,0.35752,6.72259,1.26385,0.49551,4.60976,3.12268,-0.15967,4.30531,-4.53402
"53",0,-4.10235,2.58225,-0.48525,2.4605,3.29883,5.85831,1.91093,5.3887,0.48111,3.5715,6.20855,-7.05479,1.87787,7.34747,-1.41149,4.46349,-1.05096,3.48875,4.57089
"54",0,4.53998,4.31554,5.07923,1.34205,-1.48499,-0.67016,3.05021,12.46426,5.46623,7.15876,-0.0450500000000007,5.18763,2.20575,4.55373,5.29574,4.30578,3.00864,3.34611,2.40555
"55",0,4.0594,-7.79229,-6.50473,2.35868,-5.02491,-4.77744,-0.0345599999999999,-5.79248,2.65234,-6.62785,-4.79323,3.13216,-4.28638,-1.62489,-4.83095,-3.99861,-0.96349,-5.30771,-5.03976
"56",0,3.672,4.51034,4.87084,2.49454,7.37981,-0.92131,0.78651,-1.12682,3.61121,1.02818,1.78852,4.2685,3.5956,-0.82312,2.55902,3.63574,-0.90765,-0.86226,2.48871
"57",0,2.7457,-3.89651,3.52256,9.24119,1.30957,-1.91365,5.18502,2.9736,5.72988,3.27493,5.05556,2.99941,2.36737,3.01182,0.53778,5.5334,8.02499,4.79394,-2.29854
"58",0,-5.32733,-5.0891,0.82437,-0.71527,-3.96346,1.13648,-1.7847,-4.15443,1.3879,5.16499,3.05069,3.82933,2.65005,1.83066,0.30059,0.29479,-1.16097,-0.32275,2.83409
"59",0,0.84062,-0.3203,4.81837,-1.61758,-1.38792,2.44498,2.72391,1.25499,1.40952,-1.111,-3.09831,1.36405,1.74274,3.91149,-1.68915,-1.1064,-2.76061,-0.57278,1.87853
"60",0,-6.14313,0.39354,4.57168,2.70714,-0.51474,2.08452,1.39312,3.47168,-2.80076,2.57299,-5.83345,-4.40159,1.73066,-3.11376,-5.96753,-2.16127,4.35037,-7.91132,-1.57955
"61",0,4.35605,-2.82517,6.77976,5.07854,0.99436,10.54669,-0.1217,2.5908,2.55931,5.63864,11.02073,3.46128,-0.39472,4.31733,5.75574,2.83741,3.00257,3.02314,3.92909
"62",0,1.76917,6.22118,0.51018,3.24848,2.65257,4.10607,11.75476,1.32162,-2.18721,-3.16395,2.62542,-0.72583,-3.99547,0.91434,1.07435,2.72901,4.59176,2.8109,0.04745
"63",0,-5.8748,-0.76271,0.41222,-0.5946,-0.29612,-4.75064,3.11824,3.69449,-3.19613,0.39245,-0.58619,-1.41966,-2.89906,-6.39219,-1.54731,0.56332,-4.35588,2.32299,-3.88959
"64",0,-2.14656,-1.21087,1.49314,5.33712,0.74601,0.57875,8.09104,0.7385,5.09337,0.88079,-1.725,-2.35691,7.37478,4.36317,8.21835,-4.55572,0.96345,3.39542,10.24775
"65",0,0.26325,-3.27984,-0.41787,1.18776,3.69595,1.57486,-2.17761,0.22945,-0.71176,-4.36649,-5.9497,0.62496,0.83787,-2.09065,-0.89065,-1.66689,-2.52024,4.60753,1.37324
"66",0,2.04011,1.65144,-6.87113,0.10079,-8.25597,0.83448,1.26616,-1.4078,-2.02482,-5.36371,2.65124,0.0596700000000001,-1.38261,0.97573,-3.55672,1.36354,1.99,-3.66796,1.50711
"67",0,-4.62983,2.66998,1.69897,-0.23268,-3.85532,-6.80551,-1.41649,-1.01065,-5.29291,-5.0598,-4.19439,-3.01709,-1.54458,1.57073,5.61707,-3.33689,-2.70475,-0.22082,0.11166
"68",0,5.58678,1.12108,10.69876,3.18761,0.80388,0.4287,1.98238,0.97363,-2.50365,3.73435,-1.63999,-2.02407,2.5557,4.10322,-0.42419,1.84903,3.6642,-0.25778,2.9665
"69",0,3.34164,1.15231,-1.17869,3.03421,-2.94905,-0.39624,-1.4603,-0.31198,-0.30039,-2.94174,0.12575,1.89443,-1.34651,-1.27061,0.49224,5.45507,5.15002,2.21888,3.94829
"70",0,1.2503,1.26865,1.66218,4.05897,2.03823,3.63253,0.79452,1.14446,4.07024,1.88847,2.17511,-0.96777,-0.96043,-1.61017,6.82892,6.79204,3.11782,-1.65765,4.59393
"71",0,-3.17957,2.07573,-4.28741,-4.39164,2.60517,-0.70314,2.59237,5.60059,3.90048,-7.88488,-6.88211,2.74427,2.24957,-0.14678,-2.57185,1.60803,3.97231,-0.83217,0.2016
"72",0,0.26557,2.69148,-2.67805,-4.86608,-2.05121,0.84239,-0.72892,0.45606,-1.60204,5.24085,2.61675,6.19974,0.54119,-1.6667,0.41832,7.07407,-3.61835,3.69993,3.00937
"73",0,-0.89015,1.28872,-1.92215,1.20972,-0.36029,-5.88122,-1.65921,-2.8938,2.39463,3.34713,3.24767,1.07542,1.60124,-3.8663,3.42499,-1.90894,-2.36844,-1.03494,0.94073
"74",0,5.41699,5.79162,-0.86032,-3.85096,-1.74714,4.58016,-2.00902,4.39008,2.29794,1.63899,-3.83925,-4.26874,1.55664,-3.17056,-1.05061,-3.21152,0.20792,7.06595,0.57568
