"V1","V2","V3","V4","V5"
"1",0,-4.7475,-1.84105,4.58551,-0.66183
"2",0,6.12583,-4.42142,2.28184,0.97592
"3",0,5.76929,1.38983,6.91796,0.94404
"4",0,-8.55157,0.6958,5.25029,1.3673
"5",0,-1.84209,-5.84379,-8.62654,-5.7761
"6",0,-2.1134,-0.65288,-1.50224,-5.81933
"7",0,3.55495,-0.84537,0.42501,5.46735
"8",0,-2.39643,1.61173,-3.00347,-2.73422
"9",0,3.40087,-3.57773,4.92033,1.64284
"10",0,5.59645,-0.2349,3.81067,5.37822
"11",0,1.32353,-4.55243,0.99579,2.67448
"12",0,6.44052,4.3051,3.24095,-0.94888
"13",0,1.93142,7.33883,9.68004,11.3518
"14",0,-0.99659,-7.55913,3.20559,-2.00448
"15",0,7.36443,4.60155,5.02271,8.54171
"16",0,-1.05206,4.17735,0.25526,-4.81167
"17",0,1.15787,0.29424,0.59177,6.31345
"18",0,0.0520900000000002,1.42214,5.59063,3.49962
"19",0,0.36696,1.09461,1.51605,-1.99127
"20",0,4.62696,6.69664,7.98585,-4.42115
"21",0,6.52446,1.08374,3.24807,6.35449
"22",0,4.22166,7.19808,3.54562,-1.47049
"23",0,4.15161,1.06817,1.25579,-3.94902
"24",0,0.39823,-4.90062,-2.10483,-2.46404
"25",0,-6.67913,-6.44267,-2.71981,2.45757
"26",0,0.16264,1.4869,-2.67296,-1.87354
"27",0,0.84703,-1.94099,-0.73829,-8.96206
"28",0,-4.33038,-7.77758,-4.24402,-7.70673
"29",0,-2.62596,-3.70491,-8.08636,-4.14286
"30",0,-8.73939,-9.66766,-5.22901,-7.65744
"31",0,-4.71841,5.37332,3.58471,-5.10279
"32",0,-2.621,-5.38444,-5.27674,-5.32768
"33",0,-6.92245,-8.4773,-6.73942,-5.20041
"34",0,-4.9006,-3.975,-5.0144,-4.13833
"35",0,-2.5574,4.22763,1.69257,6.56684
"36",0,-7.46868,-4.82356,-4.54617,-6.8604
"37",0,-2.18221,1.66796,0.32883,0.15237
"38",0,5.7839,-0.96093,-1.02004,-2.06306
"39",0,-5.79265,-0.8685,-5.97465,-6.27223
"40",0,-7.39504,-3.87131,-5.32987,-4.08676
"41",0,-5.92025,-1.71803,-1.18014,-2.05044
"42",0,0.84194,2.52338,5.70039,-2.2158
"43",0,0.39969,-0.8031,-5.73322,0.08138
"44",0,-0.3844,-4.16646,-0.63301,-2.59231
"45",0,-5.3845,-11.86403,-1.83008,-4.94715
"46",0,-7.06696,1.2908,-1.74221,-2.57622
"47",0,-2.67319,6.57944,2.74909,-1.23942
"48",0,2.23803,0.64244,-3.84832,2.04745
"49",0,-3.72595,0.88739,-0.87297,-5.22787
"50",0,-0.05886,0.11135,2.27563,-4.15442
"51",0,5.79187,8.75824,1.97972,5.12678
"52",0,-0.3866,3.7462,-1.06685,2.01856
"53",0,4.96467,3.58629,0.10636,1.74887
"54",0,-4.10721,1.72934,-0.89964,-4.83554
"55",0,-2.96975,0.51096,-5.68302,1.87486
"56",0,-4.94135,-0.31488,-6.72658,-9.49815
"57",0,3.82597,1.86596,-2.1235,5.21618
"58",0,7.41634,5.30923,5.1481,6.15554
"59",0,-1.56642,-3.05878,6.25829,-0.62457
"60",0,-1.30773,-7.49874,-4.41889,2.39605
